Butaro HD District Hospital | Burera,275 ,430 ,
Butaro Health Center | Burera,275 ,430 ,
Kirambo Health Center | Burera,275 ,430 ,
Kinyababa Health Center | Burera,275 ,430 ,
Kivuye Health Center | Burera,275 ,430 ,
Kinoni Health Center | Burera,275 ,430 ,
Gitare Health Center | Burera,275 ,430 ,
Mucaca Health Center | Burera,275 ,430 ,
Rusasa Health Center | Burera,275 ,430 ,
Nyamugali Health Center | Burera,275 ,430 ,
Ruhunde Health Center | Burera,275 ,430 ,
Rwerere Health Center | Burera,275 ,430 ,
Bungwe Health Center | Burera,275 ,430 ,
Ntaruka Health Center | Burera,275 ,430 ,
Cyanika (BURERA) Health Center | Burera,275 ,430 ,
Gahunga Health Center | Burera,275 ,430 ,
Rwinkwavu HD District Hospital | Kayonza,21905 ,34306 ,
Ndego Health Center | Kayonza,21905 ,34306 ,
Rwinkwavu Health Center | Kayonza,21905 ,34306 ,
Kirehe HD District Hospital | Kirehe,15304 ,23969 ,
Kirehe Health Center | Kirehe,15304 ,23969 ,
Mulindi Health Center | Kirehe,15304 ,23969 ,
Nyarubuye (KIREHE) Health Center | Kirehe,15304 ,23969 ,
Rusumo Health Center | Kirehe,15304 ,23969 ,
,,,
