Butaro HD District Hospital | Burera,3263 ,2701 ,
Butaro Health Center | Burera,3263 ,2701 ,
Kirambo Health Center | Burera,3263 ,2701 ,
Kinyababa Health Center | Burera,3263 ,2701 ,
Kivuye Health Center | Burera,3263 ,2701 ,
Kinoni Health Center | Burera,3263 ,2701 ,
Gitare Health Center | Burera,3263 ,2701 ,
Mucaca Health Center | Burera,3263 ,2701 ,
Rusasa Health Center | Burera,3263 ,2701 ,
Nyamugali Health Center | Burera,3263 ,2701 ,
Ruhunde Health Center | Burera,3263 ,2701 ,
Rwerere Health Center | Burera,3263 ,2701 ,
Bungwe Health Center | Burera,3263 ,2701 ,
Ntaruka Health Center | Burera,3263 ,2701 ,
Cyanika (BURERA) Health Center | Burera,3263 ,2701 ,
Gahunga Health Center | Burera,3263 ,2701 ,
Rwinkwavu HD District Hospital | Kayonza,20830 ,17243 ,
Ndego Health Center | Kayonza,20830 ,17243 ,
Rwinkwavu Health Center | Kayonza,20830 ,17243 ,
Kirehe HD District Hospital | Kirehe,11850 ,9809 ,
Kirehe Health Center | Kirehe,11850 ,9809 ,
Mulindi Health Center | Kirehe,11850 ,9809 ,
Nyarubuye (KIREHE) Health Center | Kirehe,11850 ,9809 ,
Rusumo Health Center | Kirehe,11850 ,9809 ,
,,,
