Butaro HD District Hospital | Burera,4252,2433
Butaro Health Center | Burera,71,41
Kirambo Health Center | Burera,71,41
Kinyababa Health Center | Burera,71,41
Kivuye Health Center | Burera,71,41
Kinoni Health Center | Burera,71,41
Gitare Health Center | Burera,71,41
Mucaca Health Center | Burera,71,41
Rusasa Health Center | Burera,71,41
Nyamugali Health Center | Burera,71,41
Ruhunde Health Center | Burera,71,41
Rwerere Health Center | Burera,71,41
Bungwe Health Center | Burera,71,41
Ntaruka Health Center | Burera,71,41
Cyanika (BURERA) Health Center | Burera,71,41
Gahunga Health Center | Burera,71,41
Rwinkwavu HD District Hospital | Kayonza,41267,23613
Ndego Health Center | Kayonza,5158,2952
Rwinkwavu Health Center | Kayonza,5158,2952
Kirehe HD District Hospital | Kirehe,47667,27275
Kirehe Health Center | Kirehe,2979,1705
Mulindi Health Center | Kirehe,2979,1705
Nyarubuye (KIREHE) Health Center | Kirehe,2979,1705
Rusumo Health Center | Kirehe,2979,1705
