Butaro HD District Hospital | Burera,30443,38368
Butaro Health Center | Burera,507,639
Kirambo Health Center | Burera,507,639
Kinyababa Health Center | Burera,507,639
Kivuye Health Center | Burera,507,639
Kinoni Health Center | Burera,507,639
Gitare Health Center | Burera,507,639
Mucaca Health Center | Burera,507,639
Rusasa Health Center | Burera,507,639
Nyamugali Health Center | Burera,507,639
Ruhunde Health Center | Burera,507,639
Rwerere Health Center | Burera,507,639
Bungwe Health Center | Burera,507,639
Ntaruka Health Center | Burera,507,639
Cyanika (BURERA) Health Center | Burera,507,639
Gahunga Health Center | Burera,507,639
Rwinkwavu HD District Hospital | Kayonza,71967,90701
Ndego Health Center | Kayonza,8996,11338
Rwinkwavu Health Center | Kayonza,8996,11338
Kirehe HD District Hospital | Kirehe,58659,73930
Kirehe Health Center | Kirehe,3666,4621
Mulindi Health Center | Kirehe,3666,4621
Nyarubuye (KIREHE) Health Center | Kirehe,3666,4621
Rusumo Health Center | Kirehe,3666,4621
