Butaro HD District Hospital | Burera,54077,30858
Butaro Health Center | Burera,2403,1371
Kirambo Health Center | Burera,2403,1371
Kinyababa Health Center | Burera,2403,1371
Kivuye Health Center | Burera,2403,1371
Kinoni Health Center | Burera,2403,1371
Gitare Health Center | Burera,2403,1371
Mucaca Health Center | Burera,2403,1371
Rusasa Health Center | Burera,2403,1371
Nyamugali Health Center | Burera,2403,1371
Ruhunde Health Center | Burera,2403,1371
Rwerere Health Center | Burera,2403,1371
Bungwe Health Center | Burera,2403,1371
Ntaruka Health Center | Burera,2403,1371
Cyanika (BURERA) Health Center | Burera,2403,1371
Gahunga Health Center | Burera,2403,1371
Rwinkwavu HD District Hospital | Kayonza,53660,30620
Ndego Health Center | Kayonza,17887,10207
Rwinkwavu Health Center | Kayonza,17887,10207
Kirehe HD District Hospital | Kirehe,44400,25336
Kirehe Health Center | Kirehe,7400,4223
Mulindi Health Center | Kirehe,7400,4223
Nyarubuye (KIREHE) Health Center | Kirehe,7400,4223
Rusumo Health Center | Kirehe,7400,4223
