Butaro HD District Hospital | Burera,201 ,153 ,
Butaro Health Center | Burera,201 ,153 ,
Kirambo Health Center | Burera,201 ,153 ,
Kinyababa Health Center | Burera,201 ,153 ,
Kivuye Health Center | Burera,201 ,153 ,
Kinoni Health Center | Burera,201 ,153 ,
Gitare Health Center | Burera,201 ,153 ,
Mucaca Health Center | Burera,201 ,153 ,
Rusasa Health Center | Burera,201 ,153 ,
Nyamugali Health Center | Burera,201 ,153 ,
Ruhunde Health Center | Burera,201 ,153 ,
Rwerere Health Center | Burera,201 ,153 ,
Bungwe Health Center | Burera,201 ,153 ,
Ntaruka Health Center | Burera,201 ,153 ,
Cyanika (BURERA) Health Center | Burera,201 ,153 ,
Gahunga Health Center | Burera,201 ,153 ,
Rwinkwavu HD District Hospital | Kayonza,18536 ,14058 ,
Ndego Health Center | Kayonza,18536 ,14058 ,
Rwinkwavu Health Center | Kayonza,18536 ,14058 ,
Kirehe HD District Hospital | Kirehe,18216 ,13815 ,
Kirehe Health Center | Kirehe,18216 ,13815 ,
Mulindi Health Center | Kirehe,18216 ,13815 ,
Nyarubuye (KIREHE) Health Center | Kirehe,18216 ,13815 ,
Rusumo Health Center | Kirehe,18216 ,13815 ,
,,,
