Butaro HD District Hospital | Burera,3415,7910
Butaro Health Center | Burera,57,132
Kirambo Health Center | Burera,57,132
Kinyababa Health Center | Burera,57,132
Kivuye Health Center | Burera,57,132
Kinoni Health Center | Burera,57,132
Gitare Health Center | Burera,57,132
Mucaca Health Center | Burera,57,132
Rusasa Health Center | Burera,57,132
Nyamugali Health Center | Burera,57,132
Ruhunde Health Center | Burera,57,132
Rwerere Health Center | Burera,57,132
Bungwe Health Center | Burera,57,132
Ntaruka Health Center | Burera,57,132
Cyanika (BURERA) Health Center | Burera,57,132
Gahunga Health Center | Burera,57,132
Rwinkwavu HD District Hospital | Kayonza,7967,18456
Ndego Health Center | Kayonza,996,2307
Rwinkwavu Health Center | Kayonza,996,2307
