Butaro HD District Hospital | Burera,8301 ,,
Butaro Health Center | Burera,369 ,,
Kirambo Health Center | Burera,369 ,,
Kinyababa Health Center | Burera,369 ,,
Kivuye Health Center | Burera,369 ,,
Kinoni Health Center | Burera,369 ,,
Gitare Health Center | Burera,369 ,,
Mucaca Health Center | Burera,369 ,,
Rusasa Health Center | Burera,369 ,,
Nyamugali Health Center | Burera,369 ,,
Ruhunde Health Center | Burera,369 ,,
Rwerere Health Center | Burera,369 ,,
Bungwe Health Center | Burera,369 ,,
Ntaruka Health Center | Burera,369 ,,
Cyanika (BURERA) Health Center | Burera,369 ,,
Gahunga Health Center | Burera,369 ,,
Rwinkwavu HD District Hospital | Kayonza,42753 ,,
Ndego Health Center | Kayonza,14251 ,,
Rwinkwavu Health Center | Kayonza,14251 ,,
Kirehe HD District Hospital | Kirehe,30980 ,,
Kirehe Health Center | Kirehe,5163 ,,
Mulindi Health Center | Kirehe,5163 ,,
Nyarubuye (KIREHE) Health Center | Kirehe,5163 ,,
Rusumo Health Center | Kirehe,5163 ,,
,,,
