Butaro HD District Hospital | Burera,74 ,135 ,
Butaro Health Center | Burera,74 ,135 ,
Kirambo Health Center | Burera,74 ,135 ,
Kinyababa Health Center | Burera,74 ,135 ,
Kivuye Health Center | Burera,74 ,135 ,
Kinoni Health Center | Burera,74 ,135 ,
Gitare Health Center | Burera,74 ,135 ,
Mucaca Health Center | Burera,74 ,135 ,
Rusasa Health Center | Burera,74 ,135 ,
Nyamugali Health Center | Burera,74 ,135 ,
Ruhunde Health Center | Burera,74 ,135 ,
Rwerere Health Center | Burera,74 ,135 ,
Bungwe Health Center | Burera,74 ,135 ,
Ntaruka Health Center | Burera,74 ,135 ,
Cyanika (BURERA) Health Center | Burera,74 ,135 ,
Gahunga Health Center | Burera,74 ,135 ,
Rwinkwavu HD District Hospital | Kayonza,12808 ,23210 ,
Ndego Health Center | Kayonza,12808 ,23210 ,
Rwinkwavu Health Center | Kayonza,12808 ,23210 ,
Kirehe HD District Hospital | Kirehe,38781 ,70280 ,
Kirehe Health Center | Kirehe,38781 ,70280 ,
Mulindi Health Center | Kirehe,38781 ,70280 ,
Nyarubuye (KIREHE) Health Center | Kirehe,38781 ,70280 ,
Rusumo Health Center | Kirehe,38781 ,70280 ,
,,,
