Butaro HD District Hospital | Burera,6086 ,6521 ,
Butaro Health Center | Burera,6086 ,6521 ,
Kirambo Health Center | Burera,6086 ,6521 ,
Kinyababa Health Center | Burera,6086 ,6521 ,
Kivuye Health Center | Burera,6086 ,6521 ,
Kinoni Health Center | Burera,6086 ,6521 ,
Gitare Health Center | Burera,6086 ,6521 ,
Mucaca Health Center | Burera,6086 ,6521 ,
Rusasa Health Center | Burera,6086 ,6521 ,
Nyamugali Health Center | Burera,6086 ,6521 ,
Ruhunde Health Center | Burera,6086 ,6521 ,
Rwerere Health Center | Burera,6086 ,6521 ,
Bungwe Health Center | Burera,6086 ,6521 ,
Ntaruka Health Center | Burera,6086 ,6521 ,
Cyanika (BURERA) Health Center | Burera,6086 ,6521 ,
Gahunga Health Center | Burera,6086 ,6521 ,
Rwinkwavu HD District Hospital | Kayonza,43278 ,46372 ,
Ndego Health Center | Kayonza,43278 ,46372 ,
Rwinkwavu Health Center | Kayonza,43278 ,46372 ,
Kirehe HD District Hospital | Kirehe,19475 ,20867 ,
Kirehe Health Center | Kirehe,19475 ,20867 ,
Mulindi Health Center | Kirehe,19475 ,20867 ,
Nyarubuye (KIREHE) Health Center | Kirehe,19475 ,20867 ,
Rusumo Health Center | Kirehe,19475 ,20867 ,
,,,
