Butaro HD District Hospital | Burera,1846 ,1737 ,
Butaro Health Center | Burera,1846 ,1737 ,
Kirambo Health Center | Burera,1846 ,1737 ,
Kinyababa Health Center | Burera,1846 ,1737 ,
Kivuye Health Center | Burera,1846 ,1737 ,
Kinoni Health Center | Burera,1846 ,1737 ,
Gitare Health Center | Burera,1846 ,1737 ,
Mucaca Health Center | Burera,1846 ,1737 ,
Rusasa Health Center | Burera,1846 ,1737 ,
Nyamugali Health Center | Burera,1846 ,1737 ,
Ruhunde Health Center | Burera,1846 ,1737 ,
Rwerere Health Center | Burera,1846 ,1737 ,
Bungwe Health Center | Burera,1846 ,1737 ,
Ntaruka Health Center | Burera,1846 ,1737 ,
Cyanika (BURERA) Health Center | Burera,1846 ,1737 ,
Gahunga Health Center | Burera,1846 ,1737 ,
Rwinkwavu HD District Hospital | Kayonza,9991 ,9402 ,
Ndego Health Center | Kayonza,9991 ,9402 ,
Rwinkwavu Health Center | Kayonza,9991 ,9402 ,
Kirehe HD District Hospital | Kirehe,7006 ,6593 ,
Kirehe Health Center | Kirehe,7006 ,6593 ,
Mulindi Health Center | Kirehe,7006 ,6593 ,
Nyarubuye (KIREHE) Health Center | Kirehe,7006 ,6593 ,
Rusumo Health Center | Kirehe,7006 ,6593 ,
,,,
