Butaro HD District Hospital | Burera,17036,8773
Butaro Health Center | Burera,17036,8773
Kirambo Health Center | Burera,17036,8773
Kinyababa Health Center | Burera,17036,8773
Kivuye Health Center | Burera,17036,8773
Kinoni Health Center | Burera,17036,8773
Gitare Health Center | Burera,17036,8773
Mucaca Health Center | Burera,17036,8773
Rusasa Health Center | Burera,17036,8773
Nyamugali Health Center | Burera,17036,8773
Ruhunde Health Center | Burera,17036,8773
Rwerere Health Center | Burera,17036,8773
Bungwe Health Center | Burera,17036,8773
Ntaruka Health Center | Burera,17036,8773
Cyanika (BURERA) Health Center | Burera,17036,8773
Gahunga Health Center | Burera,17036,8773
Rwinkwavu HD District Hospital | Kayonza,90858,46792
Ndego Health Center | Kayonza,90858,46792
Rwinkwavu Health Center | Kayonza,90858,46792
