Butaro HD District Hospital | Burera,543319,1831331
Butaro Health Center | Burera,9055,30522
Kirambo Health Center | Burera,9055,30522
Kinyababa Health Center | Burera,9055,30522
Kivuye Health Center | Burera,9055,30522
Kinoni Health Center | Burera,9055,30522
Gitare Health Center | Burera,9055,30522
Mucaca Health Center | Burera,9055,30522
Rusasa Health Center | Burera,9055,30522
Nyamugali Health Center | Burera,9055,30522
Ruhunde Health Center | Burera,9055,30522
Rwerere Health Center | Burera,9055,30522
Bungwe Health Center | Burera,9055,30522
Ntaruka Health Center | Burera,9055,30522
Cyanika (BURERA) Health Center | Burera,9055,30522
Gahunga Health Center | Burera,9055,30522
Rwinkwavu HD District Hospital | Kayonza,97021,327023
Ndego Health Center | Kayonza,12128,40878
Rwinkwavu Health Center | Kayonza,12128,40878
Kirehe HD District Hospital | Kirehe,6468,21802
Kirehe Health Center | Kirehe,404,1363
Mulindi Health Center | Kirehe,404,1363
Nyarubuye (KIREHE) Health Center | Kirehe,404,1363
Rusumo Health Center | Kirehe,404,1363
