"acronym","name","raw_type"
,"MOMS Clinical Services: Clinical Nutrition","Government"
,"MOMS Clinical Services: HIV/AIDS & STIs (NASCOP)","Government"
,"MOMS Clinical Services: Internal Medicine","Government"
,"MOMS Clinical Services: Mental Health","Government"
,"MOMS Clinical Services: Paediatrics","Government"
,"MOMS Diagnostic & Forensic Services","Government"
,"MOMS Diagnostic & Forensic Services: Blood Transfusion Services","Government"
,"MOMS Diagnostic & Forensic Services: Forensic Services","Government"
,"MOMS Diagnostic & Forensic Services: Medical Laboratories","Government"
,"MOMS Nursing Services","Government"
,"MOMS Parastatals","Government"
,"MOMS Parastatals: KEMSA (Kenya Medical Supplies Agency)","Government"
,"MOMS Parastatals: KMTC (Kenya Medical Training Colleges)","Government"
,"MOMS Parastatals: KNH (Kenyatta National Hospital)","Government"
,"MOMS Parastatals: MTRH (Moi Training & Referral Hospital)","Government"
,"MOMS Parastatals: NHIF (National Health Insurance Fund)","Government"
,"MOMS Pharmaceutical Services","Government"
,"MOMS Pharmaceutical Services: Clinical Pharmaceutical Services","Government"
,"MOMS Pharmaceutical Services: Drugs Inspectorate","Government"
,"MOMS Pharmaceutical Services: Essential Medicines & Supplies Management","Government"
,"MOMS Pharmaceutical Services: Medicine Regulation & Quality Assurance","Government"
,"MOMS Pharmaceutical Services: Pharmaceutical HRH","Government"
,"MOMS Pharmaceutical Services: Pharmaceutical Policy (KNPP)","Government"
,"MOMS Regulatory Bodies","Government"
,"MOMS Regulatory Bodies: Clinical Council","Government"
,"MOMS Regulatory Bodies: KMLTTB","Government"
,"MOMS Regulatory Bodies: Medical Practitioners & Dentist Board","Government"
,"MOMS Regulatory Bodies: Nursing Council","Government"
,"MOMS Regulatory Bodies: Pharmacy & Poisons Board","Government"
,"MOMS Standards & Regulatory Services","Government"
,"MOMS Standards & Regulatory Services: Professional Development, e-health, alt medicine","Government"
,"MOMS Standards & Regulatory Services: Quality Assurance & Standards","Government"
,"MOMS Standards & Regulatory Services: Research & Development","Government"
,"MOMS Surgical & Rehab Services","Government"
,"MOMS Surgical & Rehab Services: Clinical Services","Government"
,"MOMS Surgical & Rehab Services: Dental","Government"
,"MOMS Surgical & Rehab Services: Disaster Management","Government"
,"MOMS Surgical & Rehab Services: Obs/Gyn","Government"
,"MOMS Surgical & Rehab Services: Occupational Therapy","Government"
,"MOMS Surgical & Rehab Services: Orthopaedic Technology","Government"
,"MOMS Surgical & Rehab Services: Physiotherapy","Government"
,"MOMS Surgical & Rehab Services: Surgical Services","Government"
,"MOMS Technical Admin Services","Government"
,"MOMS Technical Admin Services: Health Administration","Government"
,"MOMS Technical Admin Services: HMIS","Government"
,"MOMS Technical Admin Services: HRH deployment & training","Government"
,"MOMS Technical Admin Services: Medical Engineering","Government"
,"MOMS Technical Planning","Government"
,"MOPHS Administration","Government"
,"MOPHS Administration: Accounts","Government"
,"MOPHS Administration: Finance","Government"
,"MOPHS Administration: General Admin","Government"
,"MOPHS Administration: HRH Development","Government"
,"MOPHS Administration: HRH Management","Government"
,"MOPHS Administration: ICT","Government"
,"MOPHS Administration: Planning & Policy","Government"
,"MOPHS Administration: Procurement","Government"
,"MOPHS Administration: Public Relations","Government"
,"MOPHS Disaster Preparedness & Response","Government"
,"MOPHS Disease Control","Government"
,"MOPHS Disease Control: AIDS/STI Control (NASCOP)","Government"
,"MOPHS Disease Control: Disease Surveillance & Response","Government"
,"MOPHS Disease Control: Government Chemist","Government"
,"MOPHS Disease Control: Malaria Control","Government"
,"MOPHS Disease Control: National Public Health Laboratories","Government"
,"MOPHS Disease Control: Non-Communicable Diseases","Government"
,"MOPHS Disease Control: Preventive Ophthalmic Services","Government"
,"MOPHS Disease Control: TB, Leprosy & Lung Disease","Government"
,"MOPHS Disease Control: Vector-borne & Neglected Diseases","Government"
,"MOPHS Family Health","Government"
,"MOPHS Family Health: Child & Adolescent Health","Government"
,"MOPHS Family Health: Immunisation Services","Government"
,"MOPHS Family Health: Nutrition","Government"
,"MOPHS Family Health: Reproductive Health","Government"
,"MOPHS Health Promotion","Government"
,"MOPHS Health Promotion: Health Communications & Social Marketing","Government"
,"MOPHS Health Promotion: Policy Advocacy & Strategic Alliances","Government"
,"MOPHS Health Promotion: Settings Programme","Government"
,"MOPHS International Health","Government"
,"MOPHS Parastatals","Government"
,"MOPHS Parastatals: KEMRI (Kenya Medical Research Institute)","Government"
,"MOPHS Parastatals: Radiation Protection Board","Government"
,"MOPHS Primary Health Services","Government"
,"MOPHS Primary Health Services: Commodities & Supplies","Government"
,"MOPHS Primary Health Services: Community Health Services","Government"
,"MOPHS Primary Health Services: Health Administration","Government"
,"MOPHS Primary Health Services: Health Facility Services","Government"
,"MOPHS Primary Health Services: Standards & Quality Assurance","Government"
,"MOPHS Sanitation & Environmental Health","Government"
,"MOPHS Sanitation & Environmental Health: Food Quality & Safety","Government"
,"MOPHS Sanitation & Environmental Health: Occupational Health","Government"
,"MOPHS Sanitation & Environmental Health: Pollution Control & Housing","Government"
,"MOPHS Sanitation & Environmental Health: Port Health","Government"
,"MOPHS Sanitation & Environmental Health: Sanitation","Government"
,"MOPHS Sanitation & Environmental Health: Vector & Vermin Control","Government"
,"MOPHS Sanitation & Environmental Health: Water Safety","Government"
,"MOPHS Technical Planning & Monitoring","Government"
,"MOPHS Technical Planning & Monitoring: HMIS & Monitoring","Government"
,"MOPHS Technical Planning & Monitoring: Research Coordination & Reform Implementation","Government"
,"MOPHS Technical Planning & Monitoring: Sector Coordination & Partnerships","Government"
,"MOPHS Technical Planning & Monitoring: Technical Planning","Government"
"NOPE","National Organisation of Peer Educators","International NGO"
,"NETHERLANDS","Donor"
"NETWAS","Network for Water & Sanitation ","International NGO"
"NARESA","Network of AIDS Researchers of East & S Africa","International NGO"
"NRC","Norwegian Refugee Council","International NGO"
,"OPEC","Donor"
"ORCMACRO","ORC Macro","International NGO"
"OXFAM","OXFAM","International NGO"
"PACT","Pact","International NGO"
"PFI","Pathfinder International","International NGO"
"PLAN","Plan International Kenya","International NGO"
"PPFA","Planned Parenthood Federation Africa","International NGO"
"PPFAI","Planned Parenthood Federation of Amercia Inc","International NGO"
"PC","Population Council","International NGO"
"PSA","Population Services International","International NGO"
,"PPP-HK","International NGO"
,"Private Healthcare Providers Consortium","International NGO"
"PATH","Program for Appropriate Technology in Health","International NGO"
"PI","Provide International","International NGO"
"RATN","Regional AIDS Training Network","International NGO"
"RI","Ripples International","International NGO"
"RTI","RTI International","International NGO"
"RAPADO","Rural Aids Prevention & Development Organization","International NGO"
"SWAP","Safe Water and AIDS Project","International NGO"
"SP","Samaritans Purse","International NGO"
,"SAUDI FUND","Donor"
"SCF-CA","Save the Children Canada","International NGO"
"SCF-UK","Save the Children Fund UK","International NGO"
"SSI","Sight Savers International","International NGO"
"SI","Social Impact","International NGO"
"SWAK","Society for Women & AIDS in Kenya","International NGO"
,"SUPKEM (Muslim Supreme Council)","International NGO"
"SANA","Sustainable Aid in Africa International ","International NGO"
,"UNAIDS","Donor"
,"UNFPA","Donor"
,"UNICEF","Donor"
,"USG-CDC (US)","Donor"
,"USG-PEPFAR (US)","Donor"
,"USG-USAID (US)","Donor"
"WASDA","Water and Sewer Distributors of America","International NGO"
,"WELLCOME TRUST","Donor"
"WEMIHS","Wem Integrated Health Services","International NGO"
,"WFP","Donor"
,"WHO","Donor"
"WOFAK","Women Fighting AIDS in Kenya","International NGO"
"WIFIP","Women in Fishing Industry Project","International NGO"
,"WORLD BANK","Donor"
"WCI","World Concern International","International NGO"
"WF","World Friends","International NGO"
"WN","World Neighbors","International NGO"
"WR","World Relief","International NGO"
"WVI","World Vision","International NGO"
